#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
0.2102241665 23.4341697693 1.1561425924 7.7912745476 0.0000000000 0.0000000000 -0.0108066862 1.7076387405
0.2425149232 23.4166679382 1.1679302454 7.7875785828 0.0000000000 0.0000000000 -0.0106135905 1.7082303762
0.2739804089 23.3998451233 1.1787762642 7.7836790085 0.0000000000 0.0000000000 -0.0105056921 1.7088862658
0.3047143817 23.3837852478 1.1885087490 7.7790627480 0.0000000000 0.0000000000 -0.0104984138 1.7096461058
0.3348540068 23.3684310913 1.1976400614 7.7743477821 0.0000000000 0.0000000000 -0.0105625791 1.7101595402
0.3644197881 23.3539047241 1.2061809301 7.7702302933 0.0000000000 0.0000000000 -0.0106879044 1.7102274895
0.3934713602 23.3401851654 1.2139506340 7.7668209076 0.0000000000 0.0000000000 -0.0108909486 1.7102513313
0.4219873846 23.3271713257 1.2216203213 7.7638082504 0.0000000000 0.0000000000 -0.0110939927 1.7104429007
0.4499377012 23.3147830963 1.2295217514 7.7611231804 0.0000000000 0.0000000000 -0.0112248603 1.7107926607
0.4773191810 23.3031597137 1.2374608517 7.7589039803 0.0000000000 0.0000000000 -0.0111703770 1.7112994194
0.5041096210 23.2922115326 1.2458499670 7.7559342384 0.0000000000 0.0000000000 -0.0109766135 1.7119680643
0.5304131508 23.2819309235 1.2538696527 7.7531981468 0.0000000000 0.0000000000 -0.0106614642 1.7126795053
0.5562141538 23.2722721100 1.2619900703 7.7500157356 0.0000000000 0.0000000000 -0.0103308912 1.7136670351
0.5814076662 23.2631225586 1.2704724073 7.7461543083 0.0000000000 0.0000000000 -0.0099870311 1.7150198221
0.6059941649 23.2544631958 1.2791371346 7.7413406372 0.0000000000 0.0000000000 -0.0096957181 1.7165805101
0.6299716830 23.2462711334 1.2875735760 7.7361841202 0.0000000000 0.0000000000 -0.0094331829 1.7182564735
0.6535143256 23.2385749817 1.2959985733 7.7310605049 0.0000000000 0.0000000000 -0.0091779251 1.7200020552
0.6764779687 23.2312755585 1.3044711351 7.7259836197 0.0000000000 0.0000000000 -0.0089453682 1.7216656208
0.6989304423 23.2242012024 1.3120510578 7.7215147018 0.0000000000 0.0000000000 -0.0087181535 1.7234872580
0.7210452557 23.2172241211 1.3190124035 7.7171125412 0.0000000000 0.0000000000 -0.0085253250 1.7255362272
0.7427052259 23.2105941772 1.3246380091 7.7126660347 0.0000000000 0.0000000000 -0.0084009347 1.7275773287
0.7639408112 23.2045211792 1.3293712139 7.7088818550 0.0000000000 0.0000000000 -0.0084457370 1.7295280695
0.7847946882 23.1989402771 1.3342068195 7.7057247162 0.0000000000 0.0000000000 -0.0085572405 1.7313238382
0.8052396178 23.1936893463 1.3401025534 7.7020525932 0.0000000000 0.0000000000 -0.0085993716 1.7330894470
0.8253777027 23.1889286041 1.3464890718 7.6975145340 0.0000000000 0.0000000000 -0.0085373437 1.7348513603
0.8452048898 23.1846504211 1.3535978794 7.6925659180 0.0000000000 0.0000000000 -0.0083908523 1.7362290621
0.8645493984 23.1806983948 1.3600488901 7.6887383461 0.0000000000 0.0000000000 -0.0081926826 1.7373148203
0.8836318254 23.1771488190 1.3660566807 7.6855607033 0.0000000000 0.0000000000 -0.0078733265 1.7381559610
0.9022338986 23.1737957001 1.3724032640 7.6827163696 0.0000000000 0.0000000000 -0.0075424197 1.7387423515
0.9203171730 23.1707916260 1.3785337210 7.6799411774 0.0000000000 0.0000000000 -0.0072363508 1.7393549681
0.9379374385 23.1680431366 1.3844916821 7.6769700050 0.0000000000 0.0000000000 -0.0069167279 1.7398806810
0.9552266002 23.1654949188 1.3898440599 7.6742358208 0.0000000000 0.0000000000 -0.0064918105 1.7403084040
0.9721770287 23.1631355286 1.3948832750 7.6715736389 0.0000000000 0.0000000000 -0.0060831844 1.7406241894
0.9888101220 23.1609153748 1.3988853693 7.6691479683 0.0000000000 0.0000000000 -0.0057773828 1.7411149740
1.0052182674 23.1590423584 1.4034285545 7.6656799316 0.0000000000 0.0000000000 -0.0055192541 1.7418661118
1.0213677883 23.1576232910 1.4093364477 7.6614370346 0.0000000000 0.0000000000 -0.0052507762 1.7429897785
1.0369327068 23.1563339233 1.4160314798 7.6560921669 0.0000000000 0.0000000000 -0.0049112560 1.7445433140
1.0519272089 23.1551437378 1.4227042198 7.6495261192 0.0000000000 0.0000000000 -0.0046005133 1.7465084791
1.0665403605 23.1540603638 1.4287395477 7.6418561935 0.0000000000 0.0000000000 -0.0043981369 1.7486581802
1.0807181597 23.1531639099 1.4346380234 7.6341142654 0.0000000000 0.0000000000 -0.0042209318 1.7509068251
1.0947076082 23.1526908875 1.4395254850 7.6273460388 0.0000000000 0.0000000000 -0.0040168860 1.7531011105
1.1085176468 23.1524505615 1.4441924095 7.6210007668 0.0000000000 0.0000000000 -0.0038219877 1.7550728321
1.1221977472 23.1525135040 1.4491443634 7.6154665947 0.0000000000 0.0000000000 -0.0037221680 1.7568758726
1.1355394125 23.1526699066 1.4541919231 7.6106657982 0.0000000000 0.0000000000 -0.0036730261 1.7587046623
1.1484591961 23.1528873444 1.4587551355 7.6061310768 0.0000000000 0.0000000000 -0.0035577829 1.7606124878
1.1611540318 23.1533298492 1.4630665779 7.6013031006 0.0000000000 0.0000000000 -0.0034108246 1.7625045776
1.1737738848 23.1541099548 1.4674725533 7.5962252617 0.0000000000 0.0000000000 -0.0033140762 1.7643096447
1.1862552166 23.1551170349 1.4717596769 7.5922584534 0.0000000000 0.0000000000 -0.0032071793 1.7656979561
1.1984127760 23.1561355591 1.4771046638 7.5885038376 0.0000000000 0.0000000000 -0.0030803182 1.7669703960
1.2103532553 23.1572322845 1.4821465015 7.5844349861 0.0000000000 0.0000000000 -0.0029680128 1.7681409121
1.2221256495 23.1585636139 1.4871079922 7.5801830292 0.0000000000 0.0000000000 -0.0028508333 1.7691191435
1.2336449623 23.1599235535 1.4916156530 7.5769610405 0.0000000000 0.0000000000 -0.0027241728 1.7699409723
1.2450159788 23.1615772247 1.4953471422 7.5745353699 0.0000000000 0.0000000000 -0.0024755253 1.7704731226
1.2561897039 23.1632709503 1.4991614819 7.5719814301 0.0000000000 0.0000000000 -0.0023012583 1.7709479332
1.2672817707 23.1651420593 1.5027486086 7.5692996979 0.0000000000 0.0000000000 -0.0022220702 1.7714909315
1.2780492306 23.1671085358 1.5064972639 7.5666818619 0.0000000000 0.0000000000 -0.0021267910 1.7717233896
1.2885280848 23.1692581177 1.5109802485 7.5638542175 0.0000000000 0.0000000000 -0.0019714197 1.7717415094
1.2988567352 23.1715183258 1.5157120228 7.5608215332 0.0000000000 0.0000000000 -0.0017679080 1.7715097666
1.3089700937 23.1738872528 1.5200290680 7.5580205917 0.0000000000 0.0000000000 -0.0016032557 1.7708197832
1.3188961744 23.1762847900 1.5243600607 7.5555400848 0.0000000000 0.0000000000 -0.0014669803 1.7698736191
1.3282883167 23.1786022186 1.5281002522 7.5532488823 0.0000000000 0.0000000000 -0.0013939352 1.7686617374
1.3373922110 23.1809635162 1.5309228897 7.5508542061 0.0000000000 0.0000000000 -0.0013883265 1.7675482035
1.3464359045 23.1833782196 1.5330477953 7.5488724709 0.0000000000 0.0000000000 -0.0014198414 1.7665808201
1.3553824425 23.1858272552 1.5350104570 7.5474557877 0.0000000000 0.0000000000 -0.0014193741 1.7657393217
1.3641976118 23.1882247925 1.5369991064 7.5472550392 0.0000000000 0.0000000000 -0.0013936680 1.7649773359
1.3727620840 23.1906070709 1.5396025181 7.5471620560 0.0000000000 0.0000000000 -0.0014218446 1.7643731833
1.3811402321 23.1928939819 1.5422463417 7.5464320183 0.0000000000 0.0000000000 -0.0015334822 1.7639552355
1.3893486261 23.1950721741 1.5450067520 7.5447597504 0.0000000000 0.0000000000 -0.0016457208 1.7633208036
1.3973453045 23.1972236633 1.5473785400 7.5436520576 0.0000000000 0.0000000000 -0.0017163623 1.7626649141
1.4051539898 23.1994514465 1.5508581400 7.5424170494 0.0000000000 0.0000000000 -0.0018346770 1.7620494366
